tBodyAcc-mean()-X,tBodyAcc-mean()-Y,tBodyAcc-mean()-Z,tBodyAcc-std()-X,tBodyAcc-std()-Y,tBodyAcc-std()-Z,tBodyAcc-mad()-X,tBodyAcc-mad()-Y,tBodyAcc-mad()-Z,tBodyAcc-max()-X,tBodyAcc-max()-Y,tBodyAcc-max()-Z,tBodyAcc-min()-X,tBodyAcc-min()-Y,tBodyAcc-min()-Z,subject,Activity
0.27903836,-0.014800378,-0.11684896,-0.99694116,-0.98186562,-0.98257653,-0.99721998,-0.98161964,-0.98133604,-0.9417158,-0.56349958,-0.8242149,0.85257303,0.6888947,0.83839767,1,STANDING
0.2801349,-0.013916951,-0.10637048,-0.99769492,-0.98751567,-0.99040744,-0.99801432,-0.98795448,-0.99219012,-0.94207598,-0.56349958,-0.81589176,0.84985145,0.69387601,0.83839767,1,STANDING
0.27773106,-0.018210718,-0.10918803,-0.99749074,-0.99322197,-0.99612795,-0.99790305,-0.99271072,-0.99649182,-0.94487012,-0.57509103,-0.81589176,0.84715408,0.69259112,0.84722607,1,STANDING
0.27556818,-0.016979698,-0.11142918,-0.99781139,-0.9905223,-0.99762104,-0.99820522,-0.98946983,-0.99719303,-0.94566163,-0.57334183,-0.82658225,0.84715408,0.69259112,0.84750921,1,STANDING
0.27756171,-0.014318487,-0.10787724,-0.99790424,-0.99431129,-0.99595166,-0.99836517,-0.99360447,-0.99559481,-0.94147242,-0.57295816,-0.82002259,0.85161294,0.69476646,0.84750921,1,STANDING
0.27715238,-0.017983328,-0.10660117,-0.99776322,-0.98995727,-0.99658567,-0.99829082,-0.9896687,-0.99670045,-0.94147242,-0.57295816,-0.81751965,0.84968627,0.68945922,0.84986038,1,STANDING
0.2756763,-0.021264234,-0.11080122,-0.99786211,-0.99009076,-0.99459257,-0.99833345,-0.98947266,-0.99448451,-0.94456672,-0.57528783,-0.81751965,0.84968627,0.68945922,0.84137235,1,STANDING
0.2792002,-0.017714427,-0.10916135,-0.99838929,-0.98730784,-0.99083159,-0.99886852,-0.98677131,-0.98963739,-0.94367519,-0.56780337,-0.82543702,0.85001518,0.69190301,0.84137235,1,STANDING
0.28171549,-0.011910678,-0.10287513,-0.99853388,-0.98848901,-0.99318367,-0.99867433,-0.98854392,-0.99328718,-0.94255883,-0.56386922,-0.81539879,0.85252893,0.69354066,0.84726168,1,STANDING
0.27899267,-0.014531029,-0.10659617,-0.99805969,-0.98606983,-0.99342424,-0.99805916,-0.98519239,-0.99501788,-0.94255883,-0.56386922,-0.81539879,0.85044026,0.69188515,0.84156459,1,STANDING
0.27573444,-0.01801884,-0.10677578,-0.99925496,-0.99366888,-0.9941888,-0.99940654,-0.99362014,-0.99358295,-0.94288961,-0.57586911,-0.82266472,0.85044026,0.69127318,0.84156459,1,STANDING
0.14450396,0.18926326,0.062769317,-0.90429967,-0.18193654,-0.44315051,-0.90110019,-0.11081268,-0.40059935,-0.93189578,0.042098681,-0.3365258,0.71647623,0.65581306,0.80898559,1,SITTING
0.28725164,-0.037455064,-0.14597431,-0.98291504,-0.89160489,-0.94143811,-0.98441781,-0.89137296,-0.93336072,-0.93189578,-0.49953681,-0.82469972,0.82636555,0.65581306,0.80898559,1,SITTING
0.2799976,-0.019484036,-0.10572355,-0.99281839,-0.94035041,-0.98149266,-0.99309238,-0.93692706,-0.9806691,-0.935389,-0.56525476,-0.82253173,0.84772493,0.66274101,0.83760928,1,SITTING
0.22184689,0.034107675,-0.12361242,-0.81470826,-0.749418,-0.57189889,-0.87868152,-0.77689463,-0.70070978,-0.73715155,-0.31840187,-0.47333399,0.50346078,0.66074284,0.5684366,1,SITTING
-0.041701306,0.17510248,0.025551778,-0.75839283,-0.58653735,-0.43911019,-0.77411817,-0.5553503,-0.43873576,-0.73715155,-0.21299426,-0.47333399,0.50346078,0.66074284,0.5684366,1,SITTING
0.013903671,0.15329608,0.016242945,-0.80863778,-0.57274619,-0.62641542,-0.80621297,-0.5338107,-0.57939359,-0.91606376,-0.21299426,-0.4804685,0.56631576,0.68182878,0.80528959,1,SITTING
0.30368927,-0.004242805,-0.15085028,-0.95650333,-0.83867155,-0.94300953,-0.96200594,-0.84482083,-0.93719466,-0.91606376,-0.43888293,-0.81719544,0.80103579,0.67680924,0.80528959,1,SITTING
0.29075969,-0.02403476,-0.11673889,-0.97737449,-0.96384053,-0.96250503,-0.9776306,-0.95938205,-0.96225396,-0.91682527,-0.57174232,-0.82009798,0.84280757,0.67680924,0.81998135,1,SITTING
0.27090823,-0.014412968,-0.10652245,-0.99385604,-0.9931787,-0.9934703,-0.993878,-0.99213086,-0.99278814,-0.9416171,-0.57174232,-0.82009798,0.84280757,0.69495193,0.84887263,1,SITTING
0.2795534,-0.017001147,-0.11051668,-0.99607594,-0.99578152,-0.99822168,-0.99628687,-0.99636995,-0.99903649,-0.9416171,-0.57008942,-0.82369845,0.85061461,0.69495193,0.84887263,1,SITTING
0.27635864,-0.016138088,-0.10803259,-0.99557733,-0.99454385,-0.99454372,-0.99623837,-0.99420125,-0.99540731,-0.93831151,-0.57008942,-0.82369845,0.85025781,0.69609189,0.84248372,1,SITTING
0.23715407,0.007825122,-0.12283791,-0.97995358,-0.86619341,-0.96829047,-0.98017878,-0.88231587,-0.96609671,-0.93963693,-0.51927086,-0.82356971,0.81349001,0.61497281,0.82462455,1,SITTING
0.2731084,0.006518112,-0.10947182,-0.99078294,-0.93506515,-0.99072156,-0.99249787,-0.92856262,-0.98958434,-0.93963693,-0.51927086,-0.82356971,0.83314308,0.69578249,0.84388289,1,SITTING
0.28150539,-0.018434859,-0.11139287,-0.99546804,-0.98433022,-0.99099514,-0.99597751,-0.98230937,-0.99028357,-0.93978877,-0.56850461,-0.82135776,0.84530068,0.68978423,0.84388289,1,SITTING
0.27843225,-0.019654302,-0.10797029,-0.99439029,-0.98456278,-0.99198578,-0.99505023,-0.98452195,-0.99261705,-0.93978877,-0.5647431,-0.82135776,0.84530068,0.68819188,0.83996554,1,SITTING
0.2733796,-0.009940106,-0.10839283,-0.9955058,-0.98176748,-0.99347363,-0.99570639,-0.98091907,-0.99486368,-0.94012022,-0.56413064,-0.82244411,0.84833198,0.68819188,0.83996554,1,SITTING
0.27905615,-0.01626097,-0.11281565,-0.99501877,-0.97044631,-0.98926612,-0.99481764,-0.96514978,-0.99024636,-0.94171541,-0.56413064,-0.82355129,0.84833198,0.68743749,0.83576201,1,SITTING
0.2785991,-0.019910142,-0.1111806,-0.99474489,-0.97949566,-0.98796152,-0.9944187,-0.97734899,-0.9876041,-0.94171541,-0.57074022,-0.82355129,0.84852904,0.68743749,0.83576201,1,SITTING
0.27328142,-0.011127209,-0.10634926,-0.9958764,-0.9891107,-0.99341322,-0.99614139,-0.98804909,-0.99153911,-0.942012,-0.56678855,-0.82618577,0.8473295,0.69343071,0.84604695,1,SITTING
0.27853812,-0.016173432,-0.10970656,-0.99664602,-0.98297482,-0.99479797,-0.99694978,-0.98185178,-0.99345774,-0.9432431,-0.56678855,-0.82573272,0.8473295,0.68862147,0.84630959,1,SITTING
0.27746121,-0.017491016,-0.10635945,-0.99642843,-0.98467312,-0.99068266,-0.99673775,-0.98315067,-0.98933801,-0.93857257,-0.56951477,-0.82043241,0.84666751,0.68862147,0.84630959,1,SITTING
0.27394057,-0.013147584,-0.10543517,-0.99588454,-0.98801293,-0.98842553,-0.99654303,-0.98673408,-0.98773683,-0.93857257,-0.56951477,-0.82043241,0.84666751,0.69277077,0.84349892,1,SITTING
0.27930326,-0.020521383,-0.11323643,-0.99584854,-0.98070075,-0.99340381,-0.99610117,-0.97956875,-0.99291311,-0.94068373,-0.57081047,-0.82461209,0.84982947,0.68652617,0.84349892,1,SITTING
0.2790872,-0.019083242,-0.10588882,-0.99572983,-0.97896723,-0.99139401,-0.99610425,-0.976663,-0.99058829,-0.94068373,-0.56690544,-0.81936247,0.84407243,0.68652617,0.84576881,1,SITTING
0.40347433,-0.015074404,-0.11816739,-0.91481115,-0.89523112,-0.89174811,-0.91769589,-0.92462354,-0.90589478,-0.78510398,-0.41029166,-0.80040629,0.84158614,0.64041374,0.75883118,1,LAYING
0.27837321,-0.020560964,-0.096824565,-0.98488259,-0.99111837,-0.98211178,-0.98798454,-0.99036228,-0.98218934,-0.92005119,-0.57382687,-0.80040629,0.84158614,0.69019753,0.84273468,1,LAYING
0.27655526,-0.01786855,-0.10762126,-0.9941946,-0.99637166,-0.99561514,-0.99490115,-0.99635992,-0.99662796,-0.94016395,-0.57382687,-0.82017394,0.84423691,0.69242714,0.84273468,1,LAYING
0.27957476,-0.017275722,-0.10948053,-0.99613535,-0.99581156,-0.99868915,-0.99639333,-0.99547449,-0.99900593,-0.94077317,-0.57593716,-0.82598577,0.85063612,0.6924894,0.84496832,1,LAYING
0.27652699,-0.0168191,-0.10798311,-0.99677544,-0.99725636,-0.99542164,-0.99716687,-0.99710766,-0.99573929,-0.94267266,-0.57593716,-0.81921913,0.84761806,0.69485529,0.84496832,1,LAYING
0.27812334,-0.017146303,-0.10801374,-0.99492812,-0.99835905,-0.99201143,-0.99558636,-0.99807662,-0.9925905,-0.93897407,-0.57741562,-0.81386332,0.84761806,0.69248521,0.84642265,1,LAYING
0.27800654,-0.01780317,-0.10896485,-0.9944254,-0.99487263,-0.99488582,-0.99493879,-0.99399421,-0.99545035,-0.93897407,-0.57703073,-0.81386332,0.84692177,0.69146754,0.84642265,1,LAYING
0.2802064,-0.01839626,-0.10748863,-0.99647493,-0.99406876,-0.99186131,-0.99729491,-0.99433838,-0.9934396,-0.93945264,-0.5742855,-0.80780551,0.84692177,0.68809863,0.84568916,1,LAYING
0.28182774,-0.018626474,-0.10527824,-0.99628711,-0.99219394,-0.99020448,-0.99725464,-0.99292709,-0.99099603,-0.93844914,-0.57364597,-0.80780551,0.84559568,0.68809863,0.84568916,1,LAYING
0.27672941,-0.017209548,-0.10563797,-0.99478811,-0.99103132,-0.99318722,-0.99588986,-0.99062488,-0.99279474,-0.93345851,-0.57364597,-0.81833355,0.84559568,0.69064738,0.84568719,1,LAYING
0.27588359,-0.016150309,-0.10882921,-0.99551063,-0.99554804,-0.9940008,-0.99615034,-0.99534413,-0.99387899,-0.93345851,-0.57459909,-0.81833355,0.84662161,0.69403351,0.84568719,1,LAYING
0.27783021,-0.017684054,-0.1057035,-0.99614315,-0.99596875,-0.9948886,-0.99637502,-0.99564634,-0.99397374,-0.93988139,-0.575722,-0.82243229,0.85024823,0.69403351,0.84748043,1,LAYING
0.27937115,-0.017644953,-0.10818111,-0.99523683,-0.99581009,-0.99443045,-0.99551468,-0.99533814,-0.99371997,-0.93922131,-0.5765528,-0.8246384,0.84982864,0.69480408,0.84827034,1,LAYING
0.019016151,-0.007037357,-0.028333356,-0.66129361,-0.71335257,-0.70115517,-0.69394813,-0.70655751,-0.75542184,-0.89128356,-0.37385204,-0.45127867,0.25127149,0.62851296,0.82389085,1,LAYING
0.3402085,-0.036452984,-0.10625819,-0.95859648,-0.90805582,-0.98466948,-0.95685496,-0.89849385,-0.98713876,-0.89128356,-0.55687886,-0.79702351,0.84056645,0.64503959,0.83286288,1,LAYING
-0.16642569,-0.11935251,0.13303497,-0.63313536,-0.18977503,-0.31933629,-0.6238043,-0.19967526,-0.28108829,-0.92520798,-0.24148221,-0.12098467,0.26337402,0.094907246,0.65067851,1,LAYING
-0.23910256,-0.096904391,0.14803461,-0.63732529,-0.12769222,-0.25892403,-0.64364219,-0.13855081,-0.23963371,-0.87814885,-0.24148221,-0.12098467,0.26337402,0.094907246,0.65067851,1,LAYING
0.34696848,0.069408647,-0.20082552,-0.80390335,-0.74174219,-0.60538234,-0.82688969,-0.74565636,-0.60266917,-0.83056066,-0.33220262,-0.52836897,0.59846385,0.60982627,0.68917794,1,LAYING
0.30383319,0.1036482,-0.24533103,-0.75599409,-0.64257064,-0.6955007,-0.7675366,-0.7099778,-0.73046383,-0.71708111,-0.18286375,-0.56033308,0.57444406,0.50463775,0.63477766,1,LAYING
-0.36120533,-0.26812111,0.17689637,-0.59939182,0.53250573,0.004324026,-0.66410777,0.50226025,0.048471827,-0.71708111,-0.18286375,0.31545297,0.022281712,-0.51352667,0.46493267,1,LAYING
-0.27706634,-0.68409659,0.34665772,-0.59641047,0.024682958,-0.16040449,-0.6318195,-0.068856732,-0.23515959,-0.86629617,-0.24904654,0.31545297,0.022281712,-0.51352667,0.46493267,1,LAYING
0.2574765,-0.41386534,0.017374188,-0.91966606,0.075259481,-0.63071563,-0.93798609,0.17679647,-0.61351033,-0.86629617,-0.50734367,-0.43582774,0.66641897,0.015564613,0.82678325,1,LAYING
0.27683965,-0.02714766,-0.1231748,-0.97739515,-0.58759988,-0.97067028,-0.97843806,-0.60745905,-0.96788449,-0.92048585,-0.48978536,-0.81546261,0.82678239,0.43482983,0.82678325,1,LAYING
0.26865095,0.016430154,-0.10372571,-0.98569313,-0.89590544,-0.98819508,-0.98739438,-0.88786675,-0.98850487,-0.92994293,-0.48978536,-0.81312665,0.82678239,0.69347377,0.83982133,1,LAYING
0.28526329,-0.008888811,-0.10374518,-0.99549458,-0.97982784,-0.99541907,-0.99580191,-0.97867265,-0.99550068,-0.93775406,-0.55991109,-0.81312665,0.84995073,0.69347377,0.84833835,1,LAYING
0.28347732,-0.007524458,-0.10928717,-0.99458009,-0.98676377,-0.99609334,-0.99523716,-0.98606488,-0.99612418,-0.93775406,-0.56140928,-0.8226049,0.84785097,0.69762776,0.84539717,1,LAYING
0.27302712,-0.010196757,-0.11115339,-0.9931253,-0.990001,-0.99540821,-0.99358885,-0.98988751,-0.99416488,-0.93651022,-0.56332403,-0.82753693,0.84461964,0.69269801,0.84539717,1,LAYING
0.28202157,-0.037696218,-0.1348973,-0.32828019,-0.13715339,-0.18908594,-0.40487495,-0.17679141,-0.19947378,-0.154731,-0.20375902,-0.13075241,0.11207017,0.15669144,0.41137698,1,WALKING
0.25584075,-0.064550029,-0.095186339,-0.22920689,0.016506077,-0.26031088,-0.27676408,0.009066466,-0.28736686,-0.154731,-0.17398307,-0.15662686,0.11207017,0.12274328,0.41137698,1,WALKING
0.25486723,0.003814723,-0.12365809,-0.27515786,0.013079871,-0.28437131,-0.34134109,-0.026013386,-0.32027203,-0.17555904,-0.15680927,-0.15662686,0.21317106,0.12274328,0.44828835,1,WALKING
0.34337048,-0.014446221,-0.16737697,-0.22992354,0.17391077,-0.21338751,-0.28288214,0.1446931,-0.2379875,-0.15277282,-0.057800295,-0.26538152,0.2000853,0.073584835,0.38456178,1,WALKING
0.27623973,-0.029638413,-0.14261631,-0.22657692,0.16428792,-0.12254496,-0.23952593,0.14028687,-0.14861689,-0.15277282,-0.057800295,-0.117476,0.2000853,0.052393106,0.36207499,1,WALKING
0.25546822,0.021219063,-0.048949431,-0.22453699,0.022312942,-0.11319624,-0.25062407,-0.021988287,-0.099186333,-0.073476094,-0.11822503,-0.053908069,0.25505124,0.052393106,0.36207499,1,WALKING
0.32113983,0.001581795,-0.043553705,-0.23395567,0.034774517,-0.16193047,-0.28295901,0.017454252,-0.14061933,-0.073476094,-0.10213354,-0.053908069,0.13562207,0.1534879,0.4183362,1,WALKING
0.2346659,-0.049547719,-0.11175723,-0.24708664,0.055164926,-0.20856333,-0.30468299,0.04270409,-0.20449345,-0.20929089,-0.10213354,-0.17698609,0.094155299,0.10959213,0.36118826,1,WALKING
0.31263404,-0.026367749,-0.13095121,-0.3530986,-0.01738215,-0.1278076,-0.39527374,-0.0543888,-0.095763059,-0.29039716,-0.14554645,-0.19315657,0.28053625,-0.02305703,0.39875442,1,WALKING
0.2769154,-0.03548621,-0.080569176,-0.26294183,0.11127781,-0.21270027,-0.30989024,0.089606796,-0.23332598,-0.068582605,-0.17388853,-0.12665412,0.28053625,-0.02305703,0.47103177,1,WALKING
0.20530739,-0.008508278,-0.11964696,-0.2607049,0.027917204,-0.2265457,-0.31677571,-0.038486506,-0.25181391,-0.068582605,-0.17534379,-0.12665412,0.1939315,0.061920512,0.44933141,1,WALKING
0.30699599,-0.01378698,-0.18016197,-0.23902985,0.072865343,-0.24720444,-0.28254589,0.008007804,-0.26167389,-0.091285176,-0.17534379,-0.26487708,0.1939315,0.077934561,0.38524718,1,WALKING
0.28151325,-0.040800898,-0.13467496,-0.20097415,0.13235411,-0.22023423,-0.2431469,0.1060205,-0.24125564,-0.091285176,-0.17621466,-0.24331059,0.20848993,0.049945655,0.38524718,1,WALKING
0.30388542,0.002768038,-0.038613087,-0.16865626,0.19033573,-0.1404726,-0.20513366,0.10114414,-0.12057242,-0.000818421,-0.13193378,-0.14272803,0.20848993,-0.26602514,0.4120426,1,WALKING
0.3541929,-0.012560935,-0.058680943,-0.20842457,0.23479071,-0.15926287,-0.24560393,0.13586861,-0.1283428,-0.000818421,-0.11045675,-0.14272803,0.21052578,-0.26602514,0.4120426,1,WALKING
0.22229785,-0.018659683,-0.11718642,-0.22054434,0.16981657,-0.21230566,-0.27237038,0.12724058,-0.19641717,-0.074992302,0.043212402,-0.25241186,0.15991706,0.01085331,0.40025118,1,WALKING
0.21448125,0.009938745,-0.123073,-0.20551618,0.1060062,-0.21092443,-0.26988985,0.074272815,-0.19372571,-0.074992302,0.043212402,-0.29512001,0.092366377,0.076433254,0.40025118,1,WALKING
0.32731657,-0.022255821,-0.1491439,-0.24864532,0.13322913,-0.17954697,-0.30697872,0.11399426,-0.15971189,-0.11495339,-0.16167763,-0.29512001,0.092366377,0.076433254,0.42173551,1,WALKING
0.3490591,-0.022003784,-0.15005217,-0.30312548,0.15260681,-0.17429778,-0.35661754,0.1065121,-0.14130914,-0.17806678,0.022505371,-0.34396251,0.20753285,-0.031237124,0.42173551,1,WALKING
0.26468173,-0.008591927,-0.10297373,-0.36323752,0.036867249,-0.24415899,-0.42562455,-0.055040698,-0.24323,-0.27832842,0.022505371,-0.15080645,0.20753285,-0.031237124,0.42478312,1,WALKING
0.28431748,-0.027205815,-0.21230304,-0.18344442,0.14107588,-0.22568941,-0.24908019,0.11061427,-0.22100868,0.032522048,-0.066869228,-0.27342589,0.090544446,-0.029553996,0.29244527,1,WALKING
0.22172674,-0.02437697,-0.075076407,-0.11171737,0.11113028,-0.22183256,-0.15888711,0.074157967,-0.2124279,0.032522048,-0.17426591,-0.23401917,0.090544446,-0.029553996,0.43593574,1,WALKING
0.29097148,-0.027810418,-0.042982545,-0.1393703,0.038038012,-0.26684056,-0.17215078,0.005201146,-0.25904885,0.022736869,-0.17426591,-0.23401917,0.092534401,0.053280245,0.43974894,1,WALKING
0.26108077,-0.015635621,-0.10258842,-0.17123888,0.20123607,-0.26158873,-0.21756005,0.1316434,-0.28732021,0.022736869,-0.10412774,-0.16773398,0.1532417,-0.32877705,0.43974894,1,WALKING
0.25242505,0.006277346,-0.12518006,-0.2372253,0.22348838,-0.22901343,-0.28678502,0.12579215,-0.25727591,-0.066363686,-0.10412774,-0.16773398,0.1532417,-0.32877705,0.46632037,1,WALKING
0.35878664,-0.016954505,-0.15477656,-0.2514616,0.27005499,-0.18501917,-0.28502298,0.20324476,-0.2021393,-0.15851726,0.17225424,-0.1773319,0.16146227,-0.18790104,0.36563093,1,WALKING
0.256935,-0.010577401,-0.10544192,-0.23004356,0.18733455,-0.16425491,-0.27299243,0.1229319,-0.16482037,-0.11001058,0.17225424,-0.1773319,0.16146227,-0.18790104,0.36563093,1,WALKING
0.29855414,0.000794456,-0.040695674,-0.19810732,-0.004637693,-0.18503809,-0.24664501,-0.062917298,-0.13932836,-0.019153476,-0.1376621,-0.31333079,0.24795117,0.10262708,0.39489952,1,WALKING
0.30804575,-0.023300458,-0.07970154,-0.19869979,0.13432199,-0.17723723,-0.25326747,0.084887372,-0.16488492,-0.019153476,-0.14509629,-0.14730443,0.16553401,0.024199186,0.39489952,1,WALKING
0.20356167,-0.03050523,-0.13709513,-0.2469644,0.29855783,-0.20575302,-0.29952615,0.26509534,-0.24587337,-0.085914526,-0.092162279,-0.14730443,0.16553401,-0.16290617,0.40683418,1,WALKING
0.28056095,-0.011424653,-0.15619795,-0.2739845,0.25843788,-0.22578754,-0.31344003,0.21505789,-0.2396598,-0.21304722,-0.080235853,-0.23748464,0.25178035,-0.16290617,0.4360336,1,WALKING
0.33216933,-0.034585828,-0.15926922,-0.29396729,0.18968054,-0.22527463,-0.33507341,0.17176384,-0.2312922,-0.19884218,-0.080235853,-0.26791537,0.25178035,-0.010708517,0.44651917,1,WALKING
0.28703017,-0.02723993,-0.11750002,-0.31223717,0.12700096,-0.2522831,-0.36468787,0.097290871,-0.25927738,-0.19884218,-0.10138076,-0.26791537,0.30944781,-0.010708517,0.45319139,1,WALKING
0.30159413,-0.044653002,-0.081513949,-0.17845378,0.24283356,-0.14486824,-0.25050718,0.17758619,-0.14737544,0.14787012,0.083004068,-0.17967269,-0.014497572,-0.11356479,0.36811424,1,WALKING
0.24608919,-0.016175423,-0.11188336,-0.22179285,0.067040367,-0.30151426,-0.27555723,0.037551292,-0.31420423,0.03235224,-0.056035069,-0.29522913,0.21859394,-0.088731736,0.46296125,1,WALKING
0.29272439,-0.002139839,-0.14034852,-0.25253682,0.041978126,-0.27523889,-0.29052284,-0.001825484,-0.28240827,0.03235224,-0.1139009,-0.33961251,0.26890078,0.12318129,0.43468713,1,WALKING
0.33156003,-0.007495015,-0.13173868,-0.24591692,0.10293816,-0.23307559,-0.28601205,0.065638348,-0.25447431,-0.003711519,-0.1139009,-0.26252065,0.27293716,0.083228015,0.43468713,1,WALKING
0.20201055,-0.009037945,-0.079095855,-0.2207697,0.12313624,-0.22163812,-0.27158768,0.072741887,-0.21042657,-0.11948537,-0.10498876,-0.23814156,0.23781284,-0.044714097,0.42944109,1,WALKING
0.30363491,-0.014656769,-0.042613832,-0.21530926,0.12091731,-0.2186594,-0.25322797,0.067138965,-0.17817474,-0.11948537,-0.10018445,-0.22217376,0.12005924,-0.044714097,0.42944109,1,WALKING
0.35919361,-0.018079718,-0.07234686,-0.26279787,0.057066065,-0.24801678,-0.30795628,0.027468701,-0.240457,-0.16085922,-0.10018445,-0.16234535,0.12005924,0.047336122,0.44194523,1,WALKING
0.22442754,-0.031464353,-0.12726298,-0.39294444,-0.020678437,-0.26338558,-0.45618607,-0.055806451,-0.29858962,-0.2524977,-0.17662893,-0.16234535,0.17731324,0.13697205,0.37431264,1,WALKING
0.23995826,-0.00971072,-0.12197022,-0.37078412,-0.072025636,-0.30167375,-0.43862543,-0.14012228,-0.31192796,-0.19308909,-0.16951428,-0.23711329,0.094598858,0.14484587,0.37431264,1,WALKING
0.28972747,0.01534272,-0.11667518,-0.36879989,-0.083343414,-0.26334666,-0.42365001,-0.17875899,-0.27721328,-0.19308909,0.084097764,-0.099875358,0.094598858,0.025585102,0.46636993,1,WALKING
0.30830537,-0.019882845,-0.16044667,-0.4390001,0.003312783,-0.20853766,-0.48598138,-0.063575034,-0.22371527,-0.18094808,0.084097764,-0.099875358,0.32559305,0.025585102,0.43328785,1,WALKING
0.32746543,-0.03566696,-0.18182373,-0.36722034,0.034414774,-0.19402335,-0.41838539,0.012209581,-0.19641642,-0.050130717,0.003359421,-0.1679128,0.32495849,0.097684472,0.36231623,1,WALKING
0.23841102,-0.023196389,-0.11255181,-0.31993668,0.027333313,-0.18198057,-0.36922293,0.01250261,-0.19003623,-0.050130717,0.003359421,-0.1679128,0.26327325,0.10678975,0.36231623,1,WALKING
0.1801943,-0.017796846,-0.039347036,-0.37654341,0.023526725,-0.24705158,-0.43394996,-0.0419132,-0.24282365,-0.22915947,-0.11867753,-0.22689484,0.10990937,0.080816966,0.41996436,1,WALKING
0.35845532,0.017975385,-0.084159118,-0.17198789,-0.18833245,-0.39955531,-0.21840845,-0.24654069,-0.36353479,0.24422494,-0.077151742,-0.50136177,0.22564314,0.14336935,0.54248885,1,WALKING_DOWNSTAIRS
